, income_annum, loan_amount, loan_term, cibil_score,approved
118,7200000,15800000,12,379,0
119,9100000,32900000,2,717,1
120,900000,2300000,16,545,0
121,800000,3200000,8,317,0
122,8500000,32900000,10,570,1
123,9000000,18700000,18,865,1
124,7000000,19500000,14,719,1
125,200000,600000,16,821,1
126,400000,800000,10,859,1
127,5100000,18200000,10,395,0
128,700000,2600000,12,429,0
129,400000,1200000,12,861,1
130,9500000,20800000,14,565,1
131,8800000,22600000,10,357,0
132,1800000,3600000,18,465,0
133,6800000,13900000,8,479,0
134,1500000,5500000,16,717,1
135,1600000,5500000,12,425,0
136,4600000,16700000,2,786,1
137,2200000,6700000,6,382,0
138,2900000,8500000,12,564,1
139,200000,700000,8,501,0
140,2500000,9400000,10,727,1
141,3600000,7500000,6,894,1
142,5500000,16700000,18,829,1
143,6600000,17400000,20,506,0
144,8600000,32100000,6,802,1
145,600000,1500000,14,543,0
146,1400000,3200000,20,772,1
147,4000000,11100000,12,572,1
148,4900000,11900000,16,709,1
149,2000000,6200000,18,402,0
150,5200000,19300000,8,481,0
151,8900000,28800000,6,772,1
152,6500000,20600000,2,306,1
153,1300000,4500000,6,415,0
154,9400000,35000000,16,548,0
155,5000000,11200000,8,701,1
156,3000000,7700000,12,890,1
157,9900000,33300000,6,364,0
158,700000,1300000,20,704,1
159,4000000,10600000,10,318,0
160,3100000,9600000,2,761,1
161,4500000,15100000,6,693,1
162,9700000,20600000,16,524,0
163,2000000,5300000,10,681,1
164,8100000,22300000,18,737,1
165,5700000,15900000,16,638,1
166,5800000,12800000,2,656,1
167,1800000,6500000,6,540,0
168,9100000,35200000,6,341,0
169,4800000,17500000,2,371,1
170,3800000,10500000,12,886,1
171,1900000,4100000,18,801,1
172,3600000,9500000,16,748,1
173,7400000,28200000,8,376,0
174,6600000,14300000,8,371,0
175,1800000,5300000,6,826,1
176,9200000,27200000,12,873,1
177,2400000,8600000,8,309,0
178,5600000,13300000,20,869,1
179,3800000,13900000,12,534,0
180,4500000,17900000,6,787,1
181,900000,2200000,16,566,1
182,2800000,9900000,8,742,1
183,7500000,23100000,4,824,1
184,1400000,3100000,14,575,1
185,3800000,10900000,10,766,1
186,1700000,5000000,10,888,1
187,9000000,30400000,6,638,1
188,7300000,23300000,6,622,1
189,7400000,19800000,18,458,0
190,9000000,28200000,16,327,0
191,3000000,6500000,2,612,1
192,800000,2900000,8,682,1
193,4800000,13200000,2,583,1
194,6400000,18300000,8,697,1
195,9200000,27100000,12,306,0
196,400000,1500000,2,669,1
197,2800000,6000000,18,816,1
198,8500000,28900000,20,455,0
199,4700000,16400000,10,318,0
200,9800000,21200000,20,355,0
201,3800000,8900000,16,389,0
202,500000,1500000,2,888,1
203,6900000,15600000,6,352,0
204,9600000,30100000,12,870,1
205,2900000,6500000,18,827,1
206,9800000,20900000,12,768,1
207,7100000,15400000,18,707,1
208,7700000,19100000,10,355,0
209,1400000,3300000,2,652,1
210,7800000,15900000,2,665,1
211,1700000,6000000,18,420,0
212,8500000,32700000,18,471,0
213,1900000,7500000,20,715,1
214,6700000,15200000,10,689,1
215,6900000,16400000,4,787,1
216,2600000,7800000,4,819,1
217,9600000,21100000,6,809,1
218,6800000,17000000,2,744,1
219,3200000,11300000,6,484,0
220,2900000,10400000,6,673,1
221,7900000,21200000,18,695,1
222,3900000,12400000,12,473,0
223,4600000,11000000,2,491,0
224,700000,1700000,8,733,1
225,5200000,15600000,20,434,0
226,5900000,20600000,10,777,1
227,7200000,19100000,4,774,1
228,8700000,27000000,10,717,1
229,1100000,3500000,12,503,0
230,4000000,10900000,14,598,1
231,9800000,32400000,2,543,1
232,2700000,6800000,20,796,1
233,8800000,34600000,8,386,0
234,3300000,7800000,16,632,1
235,6900000,23400000,4,481,1
236,900000,3500000,4,770,0
237,4100000,15500000,6,667,1
238,4700000,17500000,8,585,1
239,3400000,11600000,16,479,0
240,9600000,22500000,18,851,1
241,7000000,16200000,6,378,0
242,5700000,12900000,18,807,1
243,8200000,32400000,18,831,1
244,2100000,5100000,12,674,1
245,8000000,28100000,18,725,1
246,8000000,29300000,4,600,1
247,9400000,27000000,10,536,0
248,8400000,20600000,10,477,0
249,1900000,5000000,6,560,1
250,4200000,16400000,20,539,0
251,2600000,9100000,8,852,1
252,3700000,8500000,20,853,1
253,8800000,30900000,12,729,1
254,2100000,4700000,2,546,0
255,900000,2400000,10,489,0
256,9800000,35400000,6,869,1
257,8000000,20000000,2,502,0
258,9800000,38800000,8,652,1
259,300000,1100000,8,789,1
260,2700000,8100000,4,325,1
261,7400000,19600000,2,716,1
262,9200000,34300000,18,523,0
263,9500000,22200000,20,352,0
264,3800000,14400000,2,345,1
265,8300000,19400000,18,649,1
266,2800000,7400000,18,666,1
267,8600000,20900000,10,813,1
268,5400000,16800000,10,599,1
269,4200000,9400000,6,678,1
270,5200000,12200000,20,513,0
271,9400000,27900000,4,870,1
272,8800000,20400000,8,483,0
273,5900000,16700000,16,308,0
274,1700000,4900000,16,591,1
275,7000000,23000000,10,886,1
276,1700000,4000000,6,829,1
277,1500000,4900000,12,651,1
278,2000000,4700000,18,733,1
279,3900000,15500000,12,433,0
280,900000,3600000,14,713,1
281,6900000,22500000,18,403,0
282,2800000,7800000,10,405,0
283,6800000,19900000,10,516,0
284,600000,1800000,8,417,0
285,4700000,14000000,6,468,0
286,3000000,11800000,10,672,1
287,4000000,13900000,6,530,0
288,3100000,11300000,14,824,1
289,7700000,25500000,12,549,0
290,4300000,9300000,10,450,0
291,5800000,19500000,20,431,0
292,3600000,10700000,16,312,0
293,2900000,7600000,8,320,0
294,8800000,20200000,4,433,0
295,300000,1000000,10,431,0
296,8600000,28900000,8,516,0
297,3500000,12000000,14,476,0
298,800000,2600000,6,560,1
299,8000000,27100000,12,674,1
300,9900000,38200000,6,573,1
301,3300000,6600000,6,331,0
302,2000000,6700000,12,633,1
303,4900000,12900000,18,877,1
304,9200000,23600000,12,656,1
305,7500000,18200000,6,782,1
306,9000000,29300000,4,531,1
307,1400000,4100000,8,455,0
308,9600000,19900000,14,452,0
309,8400000,33200000,14,474,0
310,6400000,24400000,4,483,1
311,5900000,16800000,8,481,0
312,2200000,5100000,20,859,1
313,5600000,14100000,14,696,1
314,9800000,28700000,6,778,1
315,4400000,14600000,4,499,1
316,2400000,4900000,4,888,1
317,4400000,10800000,12,674,1
318,3700000,13200000,4,802,1
319,2300000,7800000,8,540,0
320,5900000,19600000,8,726,1
321,6400000,23500000,2,485,1
322,4900000,17100000,6,612,1
323,9500000,24200000,8,879,1
324,5700000,16400000,12,708,1
325,2700000,5700000,8,850,1
326,3900000,11300000,12,516,0
327,7800000,28800000,12,465,0
328,1100000,3200000,20,716,1
329,200000,600000,10,404,0
330,4700000,10600000,20,512,0
331,8200000,20600000,10,441,0
332,4600000,18400000,2,555,1
333,1800000,7000000,18,466,0
334,3200000,8600000,2,427,0
335,5500000,20000000,14,593,1
336,7900000,18300000,10,731,1
337,4000000,10100000,16,451,0
338,6800000,16900000,18,628,1
339,2700000,9400000,18,704,1
340,6800000,23500000,12,341,0
341,8600000,21000000,8,465,0
342,8000000,30100000,4,431,1
343,3700000,12600000,10,424,0
344,2600000,5100000,14,678,1
345,4200000,16800000,6,381,0
346,8000000,28000000,10,449,0
347,7100000,23500000,12,768,1
348,2000000,7000000,6,666,0
349,5800000,13300000,14,742,1
350,6700000,15800000,4,445,0
351,7300000,28700000,14,634,1
352,3300000,9700000,14,782,1
353,3000000,7000000,10,781,1
354,7900000,17200000,14,318,0
355,7600000,24100000,18,721,1
356,3700000,9800000,4,563,1
357,8400000,26300000,4,419,1
358,8200000,20800000,14,372,0
359,2900000,9500000,18,885,1
360,9900000,38400000,12,596,1
361,4400000,14100000,2,349,1
362,9000000,32200000,16,468,0
363,6800000,26900000,16,818,1
364,8700000,28000000,12,543,0
365,9400000,21900000,16,685,1
366,6000000,12500000,18,851,1
367,9400000,29800000,10,377,0
368,1000000,4000000,10,620,1
369,900000,2300000,20,611,1
370,2100000,7700000,4,767,1
371,1100000,3200000,20,592,1
372,600000,2300000,4,319,1
373,9200000,25500000,10,900,1
374,3600000,12800000,18,814,1
375,1300000,5000000,10,755,1
376,7700000,16800000,20,584,1
377,9500000,23500000,14,380,0
378,5000000,17600000,20,465,0
379,500000,1800000,2,531,1
380,8300000,32100000,16,814,1
381,5300000,17900000,6,678,1
382,9300000,29000000,12,655,1
383,2300000,7400000,2,682,1
384,400000,1300000,6,695,1
385,3200000,10800000,4,833,1
386,9400000,35300000,16,302,0
387,2300000,6600000,2,357,0
388,4300000,14500000,12,302,0
389,6200000,22400000,18,873,1
390,7200000,19800000,12,658,1
391,2400000,8700000,18,877,1
392,2900000,6300000,8,648,1
393,1400000,5200000,12,730,1
394,2200000,8200000,14,737,1
395,800000,3200000,10,584,0
396,600000,1700000,2,621,1
397,700000,2700000,16,583,1
398,8400000,25900000,16,621,1
399,7100000,21500000,16,610,1
400,5400000,15700000,18,452,0
401,3700000,7300000,18,339,0
402,5200000,15200000,16,650,1
403,200000,700000,10,672,1
404,500000,1000000,20,501,0
405,1800000,5700000,4,809,1
406,9200000,29400000,8,318,0
407,900000,3300000,10,649,1
408,7500000,28300000,12,367,0
409,3000000,11800000,6,847,1
410,7100000,18900000,12,360,0
411,3500000,7200000,2,865,1
412,4900000,18800000,16,880,1
413,4100000,8400000,20,608,1
414,800000,2100000,6,760,1
415,1700000,4600000,12,385,0
416,6100000,23300000,12,478,0
417,2100000,7700000,16,327,0
418,3100000,9300000,6,663,1
419,1700000,3500000,20,693,1
420,1700000,5400000,6,710,1
421,4000000,14500000,6,711,1
422,5600000,18400000,8,386,0
423,3900000,11900000,10,855,1
424,6100000,15300000,14,573,1
425,1100000,2800000,18,431,0
426,5500000,14800000,8,364,0
427,1100000,3600000,14,711,1
428,400000,900000,20,771,1
429,9200000,36400000,18,669,1
430,9300000,27500000,18,338,0
431,1100000,3500000,8,562,1
432,5600000,18700000,2,769,1
433,6300000,21500000,8,629,1
434,8800000,18100000,6,699,1
435,8400000,20800000,20,590,1
436,1600000,5700000,4,707,1
437,4500000,11400000,8,391,0
438,6500000,18500000,4,891,1
439,9500000,20600000,2,731,1
440,4700000,16700000,12,775,1
441,9600000,32400000,2,897,1
442,8000000,26700000,20,794,1
443,7700000,16700000,6,555,1
444,3600000,10300000,12,536,0
445,700000,1700000,10,839,1
446,1400000,5100000,6,890,1
447,8600000,27900000,20,415,0
448,4700000,15700000,4,868,1
449,2900000,5800000,12,353,0
450,9000000,29000000,16,590,1
451,500000,900000,18,618,1
452,700000,1700000,10,539,0
453,6800000,27000000,4,429,1
454,1800000,4700000,8,792,1
455,6000000,12400000,2,608,1
456,5400000,21500000,14,555,1
457,8400000,17500000,12,620,1
458,7400000,20900000,6,635,1
459,3200000,12500000,10,457,0
460,5400000,21400000,8,350,0
461,1000000,2500000,14,885,1
462,4400000,14700000,16,638,1
463,3800000,10500000,12,710,1
464,6100000,20900000,18,470,0
465,5500000,17300000,16,874,1
466,500000,1800000,18,411,0
467,300000,1100000,2,482,1
468,6200000,16900000,2,396,0
469,300000,900000,20,436,0
470,6900000,22100000,20,303,0
471,3700000,11400000,12,728,1
472,8800000,28600000,10,775,1
473,8200000,23500000,12,402,0
474,9200000,31500000,18,698,1
475,2400000,7800000,14,665,1
476,4100000,13500000,18,490,0
477,8000000,31900000,12,504,0
478,3600000,8600000,8,790,1
479,700000,2700000,20,669,1
480,8300000,30700000,6,381,0
481,5300000,15000000,2,900,1
482,8300000,24900000,16,506,0
483,2500000,8800000,12,538,0
484,5400000,14400000,8,677,1
485,1600000,4900000,8,685,1
486,2400000,6200000,12,860,1
487,6300000,14800000,6,608,1
488,2500000,5300000,10,540,0
489,7500000,16800000,16,492,0
490,2900000,8500000,14,834,1
491,1000000,3500000,16,834,1
492,8600000,28800000,8,890,1
493,300000,1100000,12,443,0
494,2300000,5700000,18,329,0
495,2400000,5400000,12,739,1
496,9800000,30300000,6,867,1
497,8100000,24800000,6,307,0
498,6700000,15500000,18,492,0
499,8400000,24700000,18,698,1
500,200000,700000,8,851,1
501,4700000,12500000,14,375,0
502,4300000,14300000,14,601,1
503,2200000,7000000,20,756,1
504,8600000,19200000,4,868,1
505,2000000,7200000,10,838,1
506,4200000,15900000,14,375,0
507,5100000,12500000,18,778,1
508,4100000,11200000,6,442,0
509,9900000,39500000,12,808,1
510,3200000,9000000,20,372,0
511,5500000,19000000,4,597,1
512,7800000,29100000,20,435,0
513,3400000,9700000,20,728,1
514,7900000,25900000,14,373,0
515,8900000,18500000,10,367,0
516,7300000,19100000,14,552,1
517,3300000,10600000,8,465,0
518,2900000,10500000,8,607,1
519,500000,1300000,4,427,0
520,7200000,21200000,4,711,1
521,8300000,24100000,14,823,1
522,8700000,20500000,6,523,0
523,7100000,27900000,10,328,0
524,9800000,28200000,12,721,1
525,6900000,17000000,20,599,1
526,2400000,5000000,14,580,1
527,2100000,4900000,10,744,1
528,7200000,23900000,4,559,1
529,4600000,13500000,16,587,1
530,9900000,31800000,18,817,1
531,300000,1000000,20,655,1
532,6900000,23900000,6,382,0
533,1700000,4300000,6,765,1
534,4400000,10000000,20,516,0
535,4300000,15000000,8,383,0
536,3700000,14100000,6,633,1
537,5900000,15200000,2,547,0
538,8600000,26300000,10,843,1
539,3400000,13200000,8,783,1
540,1000000,3200000,14,790,1
541,4400000,14200000,16,409,0
542,3600000,7800000,14,376,0
543,1400000,2700000,8,625,1
544,5300000,10900000,18,707,1
545,9400000,20500000,6,645,1
546,6600000,22100000,6,887,1
547,9800000,37600000,18,319,0
548,1900000,4900000,20,647,1
549,5800000,22500000,6,888,1
550,3100000,10400000,10,420,0
551,6800000,18400000,2,791,1
552,4600000,16200000,12,891,1
553,200000,700000,16,641,1
554,9500000,22800000,6,319,0
555,6200000,22200000,20,819,1
556,9700000,32300000,18,387,0
557,4200000,12300000,2,686,1
558,5700000,12000000,4,415,0
559,200000,500000,6,885,0
560,8000000,25500000,4,722,1
561,5200000,20400000,20,761,1
562,7100000,15200000,8,389,0
563,9300000,27900000,12,600,1
564,2000000,6100000,2,407,1
565,3900000,14000000,18,829,1
566,2800000,5900000,6,895,1
567,3000000,11100000,12,441,0
568,4500000,9800000,16,895,1
569,1900000,4300000,4,826,1
570,2300000,7200000,8,453,0
571,4700000,17500000,2,701,1
572,1300000,2700000,8,627,1
573,3100000,11000000,2,543,1
574,8400000,17500000,18,411,0
575,1700000,5800000,4,583,1
576,1900000,7500000,2,889,1
577,2400000,8600000,8,684,1
578,6800000,20500000,10,578,1
579,2900000,10900000,20,445,0
580,8900000,26300000,10,369,0
581,8800000,22200000,18,794,1
582,8200000,19200000,16,492,0
583,3600000,13200000,16,557,1
584,9500000,31800000,6,519,0
585,1900000,5700000,18,699,1
586,9100000,24600000,2,741,1
587,1100000,3800000,18,508,0
588,1100000,2800000,10,647,1
589,9300000,28600000,14,656,1
590,3900000,10600000,2,439,0
591,1500000,4000000,12,350,0
592,800000,2200000,6,493,0
593,600000,1800000,6,851,1
594,4400000,12500000,18,492,0
595,2700000,5400000,6,861,1
596,6200000,14600000,2,664,1
597,700000,1300000,16,362,0
598,3400000,9400000,6,703,1
599,4900000,16800000,12,758,1
600,4200000,9700000,2,396,0
601,5300000,10600000,2,828,1
602,3700000,10000000,20,709,1
603,5600000,17500000,10,528,0
604,4300000,16000000,14,623,1
605,7100000,24500000,14,599,1
606,5400000,12700000,4,622,1
607,6000000,13100000,6,385,0
608,4100000,12500000,2,579,1
609,8300000,17900000,20,846,1
610,8100000,23900000,10,449,0
611,7200000,24900000,14,666,1
612,7200000,17500000,4,380,0
613,3500000,8100000,4,589,1
614,6200000,19500000,12,845,1
615,5200000,17300000,10,401,0
616,4500000,14500000,2,766,1
617,5400000,15100000,12,522,0
618,2000000,6900000,6,834,1
619,8900000,25400000,8,588,1
620,5000000,10600000,4,570,1
621,4900000,17600000,6,860,1
622,5300000,19200000,4,655,1
623,8500000,27700000,4,457,1
624,700000,2100000,14,863,1
625,5900000,18900000,4,742,1
626,3500000,13300000,4,798,1
627,7700000,18900000,16,552,1
628,4500000,12500000,12,418,0
629,9100000,22200000,6,419,0
630,9000000,29900000,2,668,1
631,8900000,29200000,8,608,1
632,6500000,13800000,10,342,0
633,8100000,18000000,8,817,1
634,8400000,29900000,16,476,0
635,5300000,20000000,6,881,1
636,4100000,15600000,12,838,1
637,6900000,27400000,4,406,1
638,5200000,19500000,12,778,1
639,2000000,7400000,14,799,1
640,4600000,17800000,20,716,1
641,7100000,20100000,16,756,1
642,9300000,20100000,10,743,1
643,5400000,19400000,20,731,1
644,4100000,8500000,2,833,1
645,4900000,11400000,8,470,0
646,5400000,21200000,20,734,1
647,3000000,9600000,12,620,1
648,6800000,14400000,8,812,1
649,5100000,14000000,12,459,0
650,9800000,32600000,10,704,1
651,1600000,4100000,6,391,0
652,8000000,29100000,4,421,1
653,2900000,6700000,14,796,1
654,9200000,30300000,10,607,1
655,9500000,20400000,14,376,0
656,3700000,8500000,8,424,0
657,7100000,20800000,6,442,0
658,5600000,17600000,14,448,0
659,1200000,2700000,2,638,1
660,1600000,5600000,6,710,1
661,1600000,4800000,20,641,1
662,5300000,20200000,10,348,0
663,9100000,19900000,20,519,0
664,9400000,35000000,10,517,0
665,5900000,22400000,6,375,0
666,1100000,3400000,10,426,0
667,3100000,11500000,14,785,1
668,2200000,8600000,20,373,0
669,6000000,20100000,6,476,0
670,2000000,5600000,18,320,0
671,7200000,22900000,18,657,1
672,500000,1900000,12,868,1
673,5800000,13900000,6,345,0
674,200000,300000,6,472,0
675,4600000,9500000,20,613,1
676,4600000,12800000,14,769,1
677,6500000,23100000,20,741,1
678,4400000,16600000,14,889,1
679,900000,3600000,10,683,1
680,3200000,7400000,18,780,1
681,600000,1100000,8,538,0
682,5200000,12600000,10,721,1
683,6400000,15200000,14,467,0
684,1000000,2500000,6,551,1
685,6800000,14800000,14,803,1
686,3000000,8400000,10,361,0
687,8700000,30700000,6,708,1
688,8800000,20900000,18,766,1
689,3900000,11500000,2,464,0
690,1700000,4300000,2,517,0
691,900000,2300000,6,747,1
692,7200000,24700000,6,596,1
693,9200000,25400000,2,783,1
694,5700000,19400000,2,335,1
695,1100000,2700000,4,889,1
696,1100000,2200000,4,874,1
697,6000000,23900000,4,394,1
698,8100000,28500000,20,420,0
699,6500000,25100000,20,848,1
700,7600000,17900000,16,788,1
701,2200000,4900000,8,509,0
702,6300000,23900000,6,899,1
703,6700000,15800000,12,466,0
704,1300000,4300000,2,595,1
705,2800000,6700000,12,322,0
706,7000000,18900000,2,691,1
707,8800000,26700000,10,379,0
708,8900000,25800000,18,531,0
709,7000000,21800000,4,631,1
710,6900000,18600000,10,330,0
711,9200000,29200000,16,383,0
712,6100000,19700000,16,678,1
713,4400000,14700000,8,894,1
714,9900000,22700000,12,567,1
715,3900000,14000000,4,708,1
716,6800000,21200000,2,433,1
717,3600000,8700000,14,302,0
718,700000,2600000,14,736,1
719,4000000,8500000,6,323,0
720,1800000,4100000,12,670,1
721,5600000,21000000,12,609,1
722,6800000,24200000,18,349,0
723,600000,1500000,2,319,0
724,4200000,16200000,14,391,0
725,5000000,18700000,10,755,1
726,4100000,12200000,6,354,0
727,2200000,8800000,2,877,1
728,3400000,8600000,16,312,0
729,7100000,15900000,14,746,1
730,5800000,19600000,16,313,0
731,3400000,12900000,14,857,1
732,7700000,18300000,20,504,0
733,500000,1200000,14,556,1
734,5300000,11000000,14,393,0
735,4700000,14400000,14,881,1
736,4300000,12200000,14,719,1
737,900000,2500000,16,458,0
738,2000000,7500000,14,857,1
739,2000000,7600000,16,429,0
740,4100000,15900000,12,538,0
741,6900000,14400000,10,828,1
742,2300000,6100000,6,339,0
743,5800000,16600000,18,376,0
744,8000000,30000000,14,549,0
745,3700000,12700000,18,587,1
746,2600000,8400000,18,861,1
747,3000000,7000000,12,409,0
748,2700000,10200000,4,528,1
749,5700000,19600000,8,691,1
750,1500000,3600000,4,584,1
751,6800000,20000000,4,459,0
752,8100000,31700000,10,755,1
753,9200000,27700000,20,688,1
754,7600000,26000000,6,384,0
755,600000,1600000,20,869,1
756,4700000,18700000,20,445,0
757,1400000,5500000,6,393,0
758,9400000,24600000,10,414,0
759,9700000,19900000,16,395,0
760,8900000,21000000,14,815,1
761,4600000,10500000,8,758,1
762,5600000,14500000,10,457,0
763,1000000,3200000,10,854,1
764,3500000,10300000,16,324,0
765,7900000,31500000,14,849,1
766,6100000,24200000,12,672,1
767,8900000,20900000,6,859,1
768,5300000,15400000,8,584,1
769,1300000,4800000,4,346,1
770,4000000,12800000,18,635,1
771,8700000,22700000,4,365,0
772,9500000,20000000,16,856,1
773,9000000,20000000,2,440,0
774,7300000,23300000,2,616,1
775,7400000,25700000,2,461,1
776,3100000,10800000,10,681,1
777,4300000,9400000,2,485,0
778,2400000,8300000,6,684,1
779,5400000,17900000,14,727,1
780,1600000,5100000,6,784,1
781,9900000,20400000,4,865,1
782,5800000,20100000,18,791,1
783,2200000,8500000,16,866,1
784,5000000,14400000,2,761,1
785,600000,2100000,18,572,1
786,2200000,8600000,6,601,1
787,2600000,5500000,14,820,1
788,1200000,4300000,8,598,1
789,3100000,8700000,18,544,0
790,4600000,14500000,14,561,1
791,9300000,35500000,6,547,0
792,6300000,13400000,2,504,0
793,5900000,20800000,14,530,0
794,2900000,10600000,6,614,1
795,6100000,22400000,18,351,0
796,5900000,19700000,10,431,0
797,4600000,18400000,10,403,0
798,7000000,20200000,8,668,1
799,5100000,10400000,18,399,0
800,3100000,10600000,14,665,1
801,4100000,12800000,16,344,0
802,1800000,5400000,16,555,1
803,8200000,26900000,20,301,0
804,800000,2100000,6,726,1
805,8400000,23100000,6,689,1
806,8500000,33900000,4,665,1
807,3300000,12700000,16,608,1
808,5800000,12800000,20,335,0
809,4400000,10500000,18,677,1
810,2600000,8500000,2,491,1
811,9600000,28100000,20,763,1
812,5200000,18100000,8,809,1
813,9700000,36400000,16,544,0
814,200000,800000,14,624,1
815,6500000,16800000,10,388,0
816,7200000,23100000,14,644,1
817,5200000,18400000,14,600,1
818,6500000,14100000,2,709,1
819,2300000,5600000,8,642,1
820,3300000,10400000,4,423,1
821,2000000,5900000,12,900,1
822,8300000,19500000,4,415,0
823,3800000,14300000,4,645,1
824,5700000,15600000,16,742,1
825,7300000,19800000,8,724,1
826,1600000,5400000,12,707,1
827,800000,2500000,4,780,1
828,6300000,21900000,10,538,0
829,8800000,17700000,14,706,1
830,7300000,14500000,16,811,1
831,3800000,9100000,14,849,1
832,6200000,16700000,10,880,1
833,3500000,9500000,4,664,1
834,1400000,5000000,2,465,1
835,3500000,12000000,2,786,1
836,600000,2000000,10,326,0
837,4100000,10800000,16,399,0
838,5400000,11500000,6,841,1
839,2000000,6700000,14,638,1
840,3500000,8900000,4,478,0
841,8300000,30000000,4,600,1
842,6700000,15600000,16,768,1
843,1900000,6500000,10,523,0
844,6500000,20900000,14,327,0
845,600000,1800000,8,799,1
846,7000000,23000000,18,803,1
847,7700000,15400000,18,524,0
848,2600000,6600000,6,506,0
849,9200000,18800000,2,351,0
850,1800000,4200000,8,648,1
851,4900000,18500000,4,612,1
852,5700000,12400000,14,396,0
853,300000,800000,2,458,0
854,1700000,3400000,6,488,0
855,7000000,18900000,6,475,0
856,2200000,7000000,18,417,0
857,6800000,18700000,8,781,1
858,2400000,6200000,12,337,0
859,600000,1800000,12,511,0
860,6200000,17300000,6,837,1
861,7600000,24600000,12,810,1
862,4800000,10600000,8,588,1
863,4200000,9200000,12,870,1
864,7200000,20700000,10,733,1
865,6400000,20300000,16,348,0
866,8900000,23000000,12,741,1
867,5100000,14500000,12,306,0
868,6300000,19500000,18,428,0
869,6600000,22100000,4,455,1
870,4800000,14700000,2,356,1
871,200000,400000,4,594,1
872,7500000,25800000,18,844,1
873,9000000,34700000,4,771,1
874,5400000,12500000,4,622,1
875,1700000,4500000,20,480,0
876,4300000,11500000,20,337,0
